Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
spambase,1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01611271507E7,4140.0,461.0,363.0,98.0,0.0,78.74186550976138,21.25813449023861,0.0,0.5852489717978848,0.212491219640857,0.45976492651730605,44.48224512226888,94.05857885267405,446.16755515500336,6531.811019309849,-6085.643464154846,0.9678254992516342,14.168787460541973,-13.200961961290337,243.71989369455983,0.5286765589903684,25194.847258310438,0.6881720430107527,192.0,0.06043956043956044,11.0,0.9395604395604396,171.0,0.3118279569892473,87.0,0.9458128078817734,0.6881720430107527,0.7966804979253113,0.6180939972563386,0.9425834022608216,0.9419565605390872,0.7874186550976139,0.15968617252642162,0.8403138274735783,0.21258134490238612,0.834077397778219,0.7874186550976139,0.7890184279496708,0.6180939972563386,0.9433142429608738,0.9280431858099071,0.7869766125990192,0.7874186550976139,0.044,0.022,0.03125,0.03125,31.25,31.25,13103.0,2045321.0,231574.0,78.9587852494577,50.216919739696316,?,?,?,?
spambase,1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01611271507E7,4141.0,460.0,372.0,88.0,0.0,80.8695652173913,19.130434782608695,0.0,0.6253724989357173,0.19229149590382,0.43751244982778836,40.27458406245617,89.55842286121288,444.824115587931,6567.726986641887,-6122.902871053956,0.9670089469302847,14.277667362264973,-13.310658415334688,262.281894992123,0.5701780325915717,27111.173147244634,0.7132616487455197,199.0,0.04419889502762431,8.0,0.9558011049723757,173.0,0.2867383512544803,80.0,0.961352657004831,0.7132616487455197,0.8189300411522634,0.6569961270361726,0.9333452147567278,0.9397989481427566,0.808695652173913,0.13963289845601762,0.8603671015439823,0.19130434782608696,0.8521395428767828,0.808695652173913,0.8103935231564965,0.6569961270361726,0.9333452147567279,0.9173286803679911,0.808082532096869,0.808695652173913,0.043,0.021,0.046875,0.015625,46.875,15.625,13103.0,2045814.0,231081.0,80.8695652173913,50.32608695652174,?,?,?,?
spambase,1,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01611271507E7,4141.0,460.0,357.0,103.0,0.0,77.6086956521739,22.391304347826086,0.0,0.5627053568132314,0.22503356913731526,0.47178165365153957,47.132263205381314,96.57329946271908,444.824115587931,7453.8659670513025,-7009.041851463371,0.9670089469302847,16.204056450111526,-15.237047503181241,231.01775275313298,0.5022125059850717,23879.506799985706,0.6810035842293907,190.0,0.07734806629834254,14.0,0.9226519337016574,167.0,0.31899641577060933,89.0,0.9313725490196079,0.6810035842293907,0.7867494824016564,0.5936021940740077,0.9205924869799402,0.9173443622227339,0.7760869565217391,0.17243143859069102,0.827568561409309,0.22391304347826088,0.8215807824488491,0.7760869565217391,0.7779169094759584,0.5936021940740077,0.9252753605968952,0.9112861890029715,0.7755257709491119,0.7760869565217391,0.161,0.016,0.046875,0.015625,46.875,15.625,13103.0,2045814.0,231081.0,78.04347826086956,50.54347826086956,?,?,?,?
spambase,1,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01611271507E7,4141.0,460.0,357.0,103.0,0.0,77.6086956521739,22.391304347826086,0.0,0.5642817730366011,0.22139694925986517,0.46691612244764646,46.37058962086242,95.57732940249747,444.824115587931,6841.7184323207275,-6396.894316732796,0.9670089469302847,14.873300939827669,-13.906291992897383,234.31320185705007,0.5093765257761959,24220.145986144216,0.6738351254480287,188.0,0.06629834254143646,12.0,0.9337016574585635,169.0,0.32616487455197135,91.0,0.94,0.6738351254480287,0.7849686847599163,0.5987041856500499,0.9289985940315649,0.9301894849982774,0.7760869565217391,0.16855017361514693,0.831449826384853,0.22391304347826088,0.825891304347826,0.7760869565217391,0.7776780144147457,0.5987041856500499,0.9326490537479434,0.9199190499195866,0.7757042970284842,0.7760869565217391,0.032,0.017,0.03125,0.015625,31.25,15.625,13103.0,2045814.0,231081.0,78.69565217391305,50.76086956521739,?,?,?,?
spambase,1,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01611271507E7,4141.0,460.0,368.0,92.0,0.0,80.0,20.0,0.0,0.6111652180304674,0.1981875418974842,0.44372566938541674,41.50948422739487,90.83026357041022,444.824115587931,5507.114441581653,-5062.290325993722,0.9670089469302847,11.971987916481856,-11.00497896955157,256.27144378788165,0.5571118343214818,26489.893575903476,0.6917562724014337,193.0,0.03314917127071823,6.0,0.9668508287292817,175.0,0.30824372759856633,86.0,0.9698492462311558,0.6917562724014337,0.8075313807531379,0.6494130419633661,0.9467514208202142,0.9521564383170597,0.8,0.14139289886928455,0.8586071011307155,0.2,0.8520610716417335,0.8,0.8013631458376719,0.6494130419633661,0.9463384552599836,0.9330280984184816,0.7996932921865236,0.8,0.031,0.016,0.03125,0.015625,31.25,15.625,13103.0,2045814.0,231081.0,80.65217391304348,50.32608695652174,?,?,?,?
spambase,1,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01611271507E7,4141.0,460.0,365.0,95.0,0.0,79.34782608695652,20.652173913043477,0.0,0.5952054540738819,0.20540466178999112,0.4512878078132071,43.02107734509041,92.3782268142394,444.824115587931,5645.656321274786,-5200.832205686855,0.9670089469302847,12.273165915814753,-11.306156968884467,249.4361348805387,0.5422524671316059,25783.351314160842,0.7025089605734767,196.0,0.06629834254143646,12.0,0.9337016574585635,169.0,0.2974910394265233,83.0,0.9423076923076923,0.7025089605734767,0.8049281314168377,0.6244682526745402,0.9256222895502881,0.9327236931918144,0.7934782608695652,0.15726764283752495,0.842732357162475,0.20652173913043478,0.8354103625842756,0.7934782608695652,0.7953557223218892,0.6244682526745402,0.9293117082817827,0.916869895582312,0.792764296655301,0.7934782608695652,0.031,0.011,0.03125,0.015625,31.25,15.625,13103.0,2045814.0,231081.0,80.21739130434783,50.65217391304348,?,?,?,?
spambase,1,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01611271507E7,4141.0,460.0,363.0,97.0,0.0,78.91304347826087,21.08695652173913,0.0,0.5918703351382995,0.2101539846841436,0.4567702147224958,44.015801543585205,93.50047080174781,444.824115587931,5345.77548627284,-4900.951370684908,0.9670089469302847,11.621251057114868,-10.654242110184583,245.09485728458782,0.5328149071404082,25334.608450732874,0.6738351254480287,188.0,0.03314917127071823,6.0,0.9668508287292817,175.0,0.32616487455197135,91.0,0.9690721649484536,0.6738351254480287,0.7949260042283298,0.6337893086123151,0.9534446226657953,0.963944757039241,0.7891304347826087,0.14844448060529827,0.8515555193947018,0.2108695652173913,0.8466306117153035,0.7891304347826087,0.7902325005608779,0.6337893086123151,0.9524745431894046,0.9382598373333545,0.7889618835459322,0.7891304347826087,0.031,0.016,0.03125,0.015625,31.25,15.625,13103.0,2045814.0,231081.0,79.34782608695652,50.32608695652174,?,?,?,?
spambase,1,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01611271507E7,4141.0,460.0,355.0,105.0,0.0,77.17391304347827,22.82608695652174,0.0,0.5597885526795479,0.22692982612642146,0.4752877587928545,47.52942565478041,97.290996175042,444.824115587931,6864.859731032895,-6420.035615444964,0.9670089469302847,14.923608110941077,-13.956599164010791,228.89869958246865,0.49760586865754053,23660.467596308215,0.6523297491039427,182.0,0.04419889502762431,8.0,0.9558011049723757,173.0,0.34767025089605735,97.0,0.9578947368421052,0.6523297491039427,0.7761194029850746,0.6033644870746379,0.9381967959761579,0.9421413114286431,0.7717391304347826,0.16360827635846426,0.8363917236415358,0.22826086956521738,0.8331015340283074,0.7717391304347826,0.7726035301176563,0.6033644870746377,0.9398759295276616,0.9236043743387368,0.7716517192308965,0.7717391304347826,0.023,0.015,0.015625,0.015625,15.625,15.625,13103.0,2045814.0,231081.0,77.6086956521739,50.21739130434783,?,?,?,?
spambase,1,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01611271507E7,4141.0,460.0,374.0,86.0,0.0,81.30434782608695,18.695652173913043,0.0,0.6340560941315769,0.18778670871064154,0.4309162893860131,39.29734705978999,88.12313084422975,445.4453609621441,7725.769930256683,-7280.324569294539,0.9683594803524872,16.795152022297138,-15.82679254194465,267.135866869633,0.5807301453687673,27617.189640493954,0.7158273381294964,199.0,0.038461538461538464,7.0,0.9615384615384616,175.0,0.2841726618705036,79.0,0.9660194174757282,0.7158273381294964,0.8223140495867768,0.6660868942935038,0.9247964265949877,0.939608219981247,0.8130434782608695,0.13567767859291163,0.8643223214070884,0.18695652173913044,0.8564067366209869,0.8130434782608695,0.8145743982963404,0.6660868942935038,0.9253320850247657,0.9030467272913485,0.8125331715823791,0.8130434782608695,0.031,0.016,0.03125,0.015625,31.25,15.625,13103.0,2045814.0,231081.0,81.73913043478261,50.65217391304348,?,?,?,?
spambase,1,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01611271507E7,4141.0,460.0,374.0,86.0,0.0,81.30434782608695,18.695652173913043,0.0,0.6359955833640043,0.18655169646642544,0.4302517331637375,39.038901160624505,87.98722794064636,445.4453609621441,5954.571898305461,-5509.126537343317,0.9683594803524872,12.944721518055351,-11.976362037702863,268.09919893295285,0.5828243455064193,27716.78137480965,0.7050359712230215,196.0,0.02197802197802198,4.0,0.978021978021978,178.0,0.2949640287769784,82.0,0.98,0.7050359712230215,0.8200836820083681,0.6737735685317889,0.9510830895722983,0.9609387127714784,0.8130434782608695,0.12998552901586996,0.8700144709841301,0.18695652173913044,0.8631304347826088,0.8130434782608695,0.814285867157487,0.6737735685317889,0.9507585665819949,0.9388762565651668,0.8127567731308809,0.8130434782608695,0.037,0.016,0.03125,0.015625,31.25,15.625,13103.0,2045814.0,231081.0,81.73913043478261,50.32608695652174,?,?,?,?
